review_text,review_translater_face,polaridadeMultiClassifierTweetsOriginal,polaridadeMultiClassifierTweetsTraduzido,polaridade
Bem macio e felpudo...recomendo.  Preço imbatível e entrega rápida. Compraria outro quando precisar,Good soft and smooth I recommend. unbeatable price and fast delivery. I would buy another when you need,1.0,1.0,1.0
Produto excepcional!  recomendo!!! inovador e gostoso de ler!!,Excellent product! recommend!!! innovative and pleasant to read!!,1.0,1.0,1.0
Bom custo beneficio. Adequado para pessoas que fazem um uso casual do aparelho . A máquina fotográfica é excelente . A tela fornece imagens ótimas . Os recursos do aparelho são fáceis de manejar.,Good cost benefit. Suitable for people who do a casual use of the device. The camera is excellent. The screen provides excellent images. The device features are easy to manage.,1.0,1.0,1.0
"ótmo produto atendeu as expectativas, a entrega ocorreu antes do previsto. muito bom","The product fulfilled expectations, the delivery occurred before the expected. very good",1.0,1.0,1.0
"GOSTEI MUITO DO PRODUTO! TEM ÓTIMA QUALIDADE, E FACILITA MUITO A APLICAÇÃO DO GEL.","It has excellent quality, and makes it very easy to use the gel.",1.0,1.0,1.0
"Adorei, entrega no prazo e produto conforme eu esperava, recomendadíssimo.","I loved, delivery in time and product as I expected, highly recommended.",1.0,1.0,1.0
Já é o segundo processador deste modelo que compro (o primeiro foi para minha mãe) e só tenho elogios. É muito forte e facilita bastante os processos.,It’s already the second processor of this model I buy (the first was for my mother) and I only have praises.,1.0,1.0,1.0
"Nao recebi!!!  endereço para entrega : rua augusto hog, 186 casa 02 jardim presidente dutra guarulhos sp cep 07172200 favor enviar!!!","Not received!!! address for delivery : street August hog, 186 house 02 garden president dutra guarulhos sp cep 07172200 please send!!!",0.0,0.0,1.0
"Adorei o smartphone, excelente acabamento, veloz e muito intuitivo","I loved the smartphone, excellent finish, fast and very intuitive",1.0,1.0,1.0
O produto chegou antes do prazo estimado. Ótimo produto. Recomendo a todos esse vendedor.,The product arrived before the estimated deadline. great product. I recommend this seller to all.,1.0,1.0,1.0
produto excelente  Atingiu as expectativas  Recomendo o produto,Excellent product Reached expectations I recommend the product,1.0,1.0,1.0
"Lindo o relógio, entrega super rápida. Estou satisfeita com a compra.","Lending the clock, super fast delivery. I am satisfied with the purchase.",1.0,1.0,1.0
Atendeu as minhas expectativas e funcionou perfeitamente como repetidor de sinal.,It fulfilled my expectations and worked perfectly as a signal repeater.,1.0,1.0,1.0
Recomendo a compra de cartuchos HP e outros produtos pelo site americanas.com!,I recommend buying HP cartridges and other products from the site americanas.com!,0.0,0.0,1.0
muito show!...........................................................................................................................................................................................................................................................................................,"This is the first time I’ve been able to do this, and I’ve been able to do this.",1.0,1.0,1.0
Um Produto muito bom e simples recomendo esta telivisao a todos,A very good and simple product I recommend this TV to everyone.,1.0,1.0,1.0
"Estou gostando muito da torradeira Gourmet Oster, bonita e eficiente!","I really like Gourmet Oster, beautiful and efficient!",1.0,1.0,1.0
Estou satisfeito com o serviço prestado pela americanas.com,I am satisfied with the service provided by americanas.com,1.0,1.0,1.0
Aparelho muito bom! Ótima imagem e fotos maravilhosas.,Excellent picture and wonderful photos.,1.0,1.0,1.0
"Muito bom, valeu a pena a compra. Muito bonito. Gostei","Very good, it was worth buying. very nice. I liked",1.0,1.0,1.0
"Capa flexível e macia ,deixa o celular  firme na mão !","Flexible and smooth cover, keep your cell phone in hand.",0.0,1.0,1.0
Adorei o celular . Produto excelente.  Atende as minhas necessidades.,I loved the mobile. excellent product. it meets my needs.,1.0,1.0,1.0
"Produto emborrachado, ótimo para criança pequena. Chegou super rápido e minha neta de 1,5 anos adorou.",It arrived super quickly and my 1.5 year old grandmother loved it.,1.0,1.0,1.0
"Para mim, ele é útil. Tem tudo que eu preciso. Fácil de encontrar as configurações, aplicativos baixam rápidos. Câmera ótima com muitos filtros, selfie fácil de manuseiar.","For me, it is useful. It has everything I need. Easy to find the settings, apps download quickly. Great camera with a lot of filters, selfie easy to handle.",1.0,1.0,1.0
Adquirir essa pipoqueira elétrica e estou muito satisfeito com resultado,I bought this electric piper and I am very pleased with the result.,1.0,1.0,1.0
"Ótimo produto peças de qualidade, bonitas e bem acabadas. Recomendo","Excellent product quality, beautiful and well finished parts.",1.0,1.0,1.0
Ótimo!!! adoro este produto já comprei outras vezes gostei e agora comprei dnovo super recomendo,I love this product I’ve bought it again I liked it and now I’ve bought it again super recommend,1.0,1.0,1.0
"Gostei muito deste produto, principalmente por seu designe.","I really liked this product, especially because of its design.",1.0,1.0,1.0
"Eu comprei este produto, entretanto me foi entregue um produto diferente, foi entregue um produto que aceita somente um chip (modelo k33b37)  além disso veio faltando o fone. Estou em comunicação com a parceira Eletrobest e eles já me enviaram o código postal para eu enviar e fazer a troca.   O produto que veio, apesar de errado , é um produto bom, design bonito, leve, com muitas funcionalidades, entretanto como já mencionado, a empresa parceira cometeu dois erros que eu considero erros muito primários e graves ( mandar o produto errado e faltando o fone)","I bought this product, but it was delivered to me a different product, it was delivered a product that accepts only a chip (model k33b37) in addition came missing the fone. I am in communication with the partner Eletrobest and they have already sent me the postal code to send me and make the exchange. The product that came, though wrong, is a good product, beautiful design, light, with many features, however as already mentioned, the partner company committed two errors that I consider very primary and serious errors ( send the wrong product and missing the fone)",-1.0,-1.0,1.0
"Comprei a minha smart tv da samsung 49 e amei o produto . Eu recomendo sim , tanto o produto como a loja.   Não me arrependo de ter adquirido... Corra para Americanas mais próxima e garanta a sua.  Tv samsung 49 uma ótima parceira para assistir a copa . Penae nisso !","I bought my smart TV from samsung 49 and I loved the product. I recommend yes, both the product and the store. I don't regret having bought... Run to the nearest Americans and guarantee yours. samsung TV 49 a great partner to watch the cup.",1.0,1.0,1.0
Chegou super rápido bem antes do prazo de entrega .São lindas super resistente a tampa é bem flequixivel,It arrived super fast well before delivery time.They are beautiful super resistant the cover is well flexible,1.0,1.0,1.0
"Produto de boa qualidade e a loja MUNDO MAC STORE me surpreendeu com o bom atendimento e prazo de entrega, RECOMENDO!","Good quality product and the WORLD MAC STORE store surprised me with good service and delivery time, I recommend!",1.0,1.0,1.0
"Gostei muito do produto e de como as americanas foi rápida na entrega, estou curtindo meu novo aparelho, fácil de navegar, muito mais rápido devido ao processador. Muito satisfeita!","I really liked the product and how American was fast in delivery, I’m shortening my new device, easy to navigate, much faster due to the processor.",1.0,1.0,1.0
"produto de excelente qualidade, jogo intenso com história muito boa, a entrega no prazo.","Excellent quality product, intense game with very good history, delivery in time.",1.0,1.0,1.0
Apenas faltou mais um bolso na frente e os suportes de tela nas laterais serem um pouco maiores!  Produto excelente.,Just missed another pocket in front and the screen supports on the sides are a little bigger!,1.0,-1.0,1.0
"Poxa vida desse jeito nao da né Americanas , comprei o jogo dia 20/03 e nada do produto que foi lancado dia 20/04.    comprei um repelente dia 18/04 e chegou hoje . assim você cai no meu conceito né Americanas , minha relação com o site sempre foi boa , que que isso , pisou na bola demais  comprei na pre venda confiando que o produto pudesse chegar no máximo dia 23/04  e nada . nem pensar compro outro jogo na pré-venda por aqui , me desculpe . eu já fiquei puto que tanto na pre venda quando depois de ser lançado o preço não tem alteração, então pensei , pelo menos vou receber o jogo no máximo uns três dias depois , mais não foi o que aconteceu . e pra piorar comprei outro produto que chegou 6 dias apos a compra . brincadeira né Americanas Brincadeira .","I bought the game day 20/03 and nothing of the product that was launched day 20/04. I bought a repellent day 18/04 and arrived today. so you fall into my concept ni Americanas, my relationship with the site was always good, that that that, stepped on the ball too I bought in pre-sales trusting that the product could get up to the maximum day 23/04 and nothing. nor think I bought another game in pre-sales here, I apologize. I have already been puto that both in pre-sales when after being launched the price has no change, then I thought, at least I will receive the game at a maximum of three days later, it was not what happened.",0.0,-1.0,1.0
"já conheço o equipamento, então sei da qualidade do produto","I know the product, so I know the quality of the product.",0.0,0.0,1.0
"Gostei muito, perfume maravilhoso! O Frasco poderia ser maior.","I liked it very much, wonderful perfume! the Frasco could be bigger.",1.0,1.0,1.0
"Produto maravilhoso, ficou  muito mais fácil limpar","Great product, it was much easier to clean.",1.0,1.0,1.0
Indico o aparelho de Ar Condicionado Janela 10.000 Btu's.,"I indicate the air conditioner window 10,000 Btu's.",0.0,0.0,1.0
PRODUTO BOM RECOMENTO E BONITO BARATO E SILENCIOSO,Good recommendation and good cheap and silent product,1.0,1.0,1.0
um ótimo material para estudar e esclarecer sobre o comportamento infantil,A great material to study and clarify about child behavior,1.0,1.0,1.0
"Como não descobri este produto antes? Pratico e funcional. Gostei, vou usar em casa e na minha pousada, que tem piso branco.","How didn't I discover this product before? Practical and functional. I liked, I'll use it at home and in my basement, which has a white floor.",1.0,1.0,1.0
atendeu todas as minhas expectativas.  um equipamento bom e facil de manusear,It meets all my expectations. a good and easy to handle equipment,1.0,1.0,1.0
"Excelente kit composto por portão e extensores. Atendeu totalmente a minha necessidade. Apesar de não ser o mais em conta do mercado, confio na marca. Tenho conhecimento da qualidade e principalmente durabilidade do produto. Investimento a longo prazo. Melhor custo benefício de todos.","Excellent kit composed of door and extensors. It fully met my needs. Although not the most considerable of the market, I trust the brand. I have knowledge of the quality and mainly the durability of the product. Long-term investment. Best cost benefit of all.",1.0,1.0,1.0
"Um produto bom, com o serviço de entrega rápido, faz toda a diferença. Espero que continue sempre assim o atendimento para com seus clientes.","A good product, with the fast delivery service, makes all the difference. I hope you will always continue the service to your customers.",1.0,1.0,1.0
"Muito bom msm, recomendo. A bateria dele é ótima assim como suas câmeras frontal e traseira. Top.",Its battery is great as well as its front and rear cameras.,1.0,1.0,1.0
"Toalhas grandes e com a qualidade da Buddemeyer. Já tenho outras toalhas dessa marca, estava em conta na Americanas e decidi comprar. Td de bom. Recomendo.","Big towels and with the quality of Buddemeyer. I already have other towels of this brand, I was taking into account in American and I decided to buy.",1.0,1.0,1.0
"Comprei dois moto G5s. Muito bom .  chegou tudo certinho ,em menos tempo! Super indico site americanas ,para compra certa!","I bought two G5s motorcycles. very good. it arrived all sure, in less time! super indicate American site, for right purchase!",1.0,1.0,1.0
"quando comprei este instrumento fiquei com o pé atrás, mas assim que chegou o produto, fique bastante surpreso, bem embalado, esteticamente muito bonito, e sonoridade bem firme instrumento bem afinado. Super recomendo a todos. Obrigado!","When I bought this instrument I stayed with the foot back, but as soon as the product arrived, stay quite surprised, well packed, aesthetically very nice, and soundness well firm instrument well affinated.",1.0,1.0,1.0
"Ainda estou estudando o livro e prefiro não fazer comentarios, Porém em uma primeir e superficial análise acho o livro bem estruturado .","I am still studying the book and I prefer not to make comments, but in a first and superficial analysis I think the book is well structured.",1.0,1.0,1.0
"Fez por merecer a nota pelo produto ,qualidade entrega !  obrigado","I have made it worth the note for the product, quality delivery! thanks",1.0,1.0,1.0
"Muito rápido,  excelente tela,  ótimo preço x benefício.","Very fast, excellent screen, excellent price x benefit.",1.0,1.0,1.0
Bom só posso dizer do prazo de entrega e da beleza do produto já que o mesmo foi presente de casamento,Well I can only say about the delivery time and the beauty of the product since the same was a wedding present,0.0,1.0,1.0
HÁ MAIS DE 20 ANOS USO BARBEADOR ELÉTRICO DA PHILIPS. ESTE MODELO SUPEROU AS MINHAS EXPECTATIVAS COM RELAÇÃO AO USO. EXCELENTE E FÁCIL DE USAR. LIMPEZA FACILITADA APÓS O USO. ADOREI MESMO. PARABÉNS À PHILIPS.,It has been more than 20 years using the Philips Electric Barrier. This model has exceeded my expectations in relation to use. Excellent and easy to use. Easy cleaning after use. I love myself. Congratulations to the Philips.,1.0,1.0,1.0
Belo acabamento e impressão impecável. Indico para quem gosta de colecionar quadrinhos ou para quem quer presentar alguém que gosta na 9ª arte. Recomendadíssimo.,It’s a good idea for those who like to make comics or for those who want to present someone who likes in the 9th art.,1.0,1.0,1.0
"sem qualquer arrependimento, produto fantastico, pratico, silencioso e lindo.","Without any regret, a fantastic, practical, silent and beautiful product.",1.0,1.0,1.0
"suga bem, é prático, leve. Uníco problema é não poder usar o aspirador embaixo de cama baixa e armários.",The only problem is not being able to use the dust under the low bed and closets.,-1.0,-1.0,1.0
Livros excelentes e atenderam as minhas expectativas.,Great books and fulfilled my expectations.,1.0,1.0,1.0
resolveu o problema do wi-fi não alcançar os demais cômodos da casa.,The problem is that Wi-Fi does not reach the rest of the house.,0.0,-1.0,1.0
Foi um ótimo custo x beneficio. Tem uma boa iluminação.,It was a great cost x benefit. it has a good lighting.,1.0,1.0,1.0
Tudo ocorreu perfeito. Desde o momento do pagamento até o produto.,Everything happened perfectly. from the moment of payment to the product.,1.0,1.0,1.0
"Testei varios removedores de cravos ja, desde aquela mascara preta, ate aquele extrator que parece uma pinça mas esse e melhor sem sombra de duvidas, siper recomendo obrigada","I’ve tried several craves removerers already, from that black mask, to that extractor that looks like a pince but this and better without a shadow of doubt, siper I recommend thanks",1.0,1.0,1.0
"O acabamento é ótimo, e funciona muito bem sem sobrecarregar a instalação elétrica. A entrega foi exatamente na data prevista.","The finish is great, and it works very well without overloading the electrical installation. Delivery was exactly at the scheduled date.",1.0,1.0,1.0
"Gostei muito da cafeteira, preço bom e muito  fácil de usar. Só não recebi as cápsulas do combo até hoje.","I really liked the coffee shop, good price and very easy to use. I just didn't get the combo capsules until today.",1.0,1.0,1.0
"Produto muito eficiente, prático e adequado para limpezas em baixo de camas, armários etc...","Very efficient, practical and suitable for cleaning under beds, closets etc.",1.0,1.0,1.0
"Recomendo, pois se encaixa perfeitamente no modelo de camioneta.",I recommend it because it fits perfectly in the truck model.,1.0,1.0,1.0
"chegou muito antes do prazo, esquenta muito, estou até com os dedos queimados kkkk","I've got a lot before the deadline, it's a lot, I'm even with the fingers burned kkkk",-1.0,-1.0,1.0
O atendimento foi bastante satisfatório.  O Blu-ray estava em estado satisfatório.,The service was quite satisfying. the Blu-ray was in a satisfying state.,1.0,1.0,1.0
"sempre tive vontade de comprar este produto, e foi bem o que eu imaginava.","I always wanted to buy this product, and it was exactly what I imagined.",1.0,1.0,1.0
"Excelente produto, e o fato de ter luz de forno e ser bivolt é o diferencial e muito bom.","Excellent product, and the fact of having oven light and being bivolt is the differential and very good.",1.0,1.0,1.0
"O produto entregue é excelente, entregue sem danificações e com pouco atraso Muito bom","The product delivered is excellent, delivered without damages and with little delay Very good",1.0,1.0,1.0
Excelente qualidade num tamanho ideal. Preço promocional excelente e muito compatível com o tamanho.,Excellent quality in an ideal size. excellent promotional price and very compatible with the size.,1.0,1.0,1.0
ótimo lindo aconchegante e elegante tamanho maravilhoso,Great beautiful comfortable and elegant wonderful size,1.0,1.0,1.0
"Dentro do prazo, produto impecável! Apenas o controle está com maú funcionamento","Within the deadline, the product impeccable! only the control is with poor functioning",1.0,-1.0,1.0
"gostei ventila muito, e um produto de otima qualidade e nao e barulhento eu super recomendo","I liked the ventilation very much, and a product of optimal quality and not and noise I super recommend",1.0,1.0,1.0
Exatamente o que eu estava esperando e entrega no prazo,Exactly what I was expecting and delivering in time,1.0,1.0,1.0
Muito boa e bem reforçada atendeu as minhas expectativas ate agora.,Very good and well reinforced me fulfilled my expectations so far.,1.0,1.0,1.0
"Meu jogo chegou antes da data prevista, veio tudo certinho...Graças a Deus uns dias antes da paralização kkk","My game arrived before the scheduled date, everything came certain...Thank God a few days before the paralysis kkk",1.0,1.0,1.0
"produto muito bom, recomendo para todos! recebi no prazo previsto. tudo ok certinho recomendo","Good product, I recommend it to everyone! I got it in the scheduled time. all ok I recommend it.",1.0,1.0,1.0
"Já usava essa caneta, macia, não falha, vai até o fim da tinta","I used that pen, soft, does not fail, goes to the end of the paint",1.0,1.0,1.0
Um aparelho de baixo custo e alta precisão onde acho que todos deveria ter em suas casas,A low-cost and high precision device where I think everyone should have in their homes,0.0,1.0,1.0
"Produto de boa qualidade, chegou antes da data prevista.",Good quality product arrived before the scheduled date.,1.0,1.0,1.0
"otimo produto, bonito, confortavel, leve, gostei muito","good product, nice, comfortable, light, I liked it very much",1.0,1.0,1.0
"Chegou em bom estado, sem defeitos. Bem lacrado. E sem contar que chegou bem antes do dia previsto. Amei! Excelente. Recomendo.","It arrived in good condition, no defects. Good tears. And without counting it arrived well before the scheduled day. I loved! Excellent. I recommend.",1.0,1.0,1.0
Livro excelente! A entrega feita muito rápida. Super recomendo!,Excellent book! delivery made very fast. super recommend!,1.0,1.0,1.0
Excelente compra...chegou antes do prazo. muito bom comprar com vocês!,Excellent purchase... arrived before the deadline. very good to buy with you!,1.0,1.0,1.0
"Não tem nem o que falar, a entrega chegou antes do previsto e o produto bem embalado e em perfeitas condições. Tudo certo! A B2B Games está de parabéns pela competência e zelo pelos clientes.","There is nothing to say, the delivery arrived before the expected and the product well packed and in perfect conditions. All right! The B2B Games is congratulating for the competition and jealousy for the customers.",1.0,1.0,1.0
"Amei o produto, ótimo  ele cumpre  mto bem o seu proposito ,super recomendo!  Chegou antes da  data prevista!!!","I loved the product, great it meets mto well your proposal, super recommend! it arrived before the scheduled date!!!",1.0,1.0,1.0
Lindo .. Confortável.. Fashion.. ótima qualidade.. Recomendo!,Beautiful... comfortable... fashion... great quality... I recommend it!,1.0,1.0,1.0
O texto do título fala Gigabit quando o aparelho não é. ( 10/100 ),The title text speaks Gigabit when the device is not. ( 10/100 ),0.0,0.0,1.0
Ótimo produto entrega rápida eu recomendo cumpre o q promete!,Great product quick delivery I recommend fulfilling the Q promises!,1.0,1.0,1.0
AVALIAÇÃO EXCELENTE. PARABENS PELA QUALIDADE E ENTREGA EFICIENTE. SUPER CONFORTAVEL E BONITAS.,Excellent assessment. congratulations for quality and efficient delivery. super comfortable and beautiful.,1.0,1.0,1.0
"Produto de excelente qualidade, impressão nitida nada perde para o original. comprei 2 e recomendo","Product of excellent quality, bright printing nothing loses to the original. I bought 2 and recommend",1.0,1.0,1.0
"Comprei pelo site Americanas, o produto apresentou defeitos. Entrei em contato e devolvi e as Américanas fez o reembolso, sem nenhum estresse. Porem comprei o mesmo produto em uma loja física e ele é perfeito, amei e não troco por nada. Parabéns as Américanas por manter sempre contato durante a devolução.  As vezes foi defeito de um lote só. Enfim.. produto perfeito","I bought by the American site, the product presented defects. I got in contact and returned and the American made the refund, without any stress. But I bought the same product in a physical store and it is perfect, I loved and I don't exchange for anything. Congratulations to the American for always keeping contact during the return. Sometimes it was a defect of a lot alone. Finally.. perfect product",1.0,1.0,1.0
"O produto é bem acabada mais a imagem n é oque eu esperava,mais tudo bem vo da 8","The product is well finished more the image n is what I expected, but everything is well from 8",0.0,1.0,1.0
Produto de boa qualidade e que atendeu as .minhas expectativas,Good quality product that meets my expectations.,1.0,1.0,1.0
"Roteador ótimo com diversos recursos. Chegou na caixa em perfeito estado e a entrega foi super rápida, bem antes do prazo final.","It arrived in the box in perfect condition and delivery was super fast, well before the deadline.",1.0,1.0,1.0
"Satisfeita com a compra,  exatamente como descrito, material de boa qualidade, perfeitamente embalado. Equipe de entrega muito eficiente (entraram em contato algumas vezes, ...) e simpáticos. Parabéns, master box design!  Não foi entregue no prazo previsto no momento da compra ...","Satisfied with the purchase, exactly as described, good quality material, perfectly packed. very efficient delivery team (contacted a few times,...) and friendly. Congratulations, master box design! Not delivered in the scheduled time at the time of purchase...",1.0,1.0,1.0
"Minha casa, minhas roupas viviam com pelo de gato para todos os lados, minha gata vomitava bola de pelo uma vez por semana e esse produto simplesmente eliminou isso. Comprei porque minha gata está idosa e ela parou de se lamber ficando rastafari, para resolver o problema pesquisei sobre escovas para gatos e acabei lendo inúmeras boas avaliações do produto. Ele só tem um problema que não é avisado em nenhum lugar, ele quebra o pelo do animal. Não é um produto para uso diário, mas de uso semanal, quinzenal ou até mesmo mensal... Veja bem, mesmo com essa limitação ele cumpre muito bem o que promete que é diminuir drasticamente a quantidade de pelos no ambiente e no sistema digestivo do felino; e, no meu caso, impedir a mudança de religião do meu gato para a religião rastafari rsrsrsrs Nada contra os rastas, viu pessoal?! rsrsrs Só que o pelo é mais gostoso de passar a mão desembaraçado mesmo!","My house, my clothes lived with cat hair everywhere, my cat vomited the ball of by once a week and this product simply eliminated it. I bought because my cat is old and she stopped lambering becoming rastafari, to solve the problem I searched on cows for cats and ended reading numerous good reviews of the product. He only has a problem that is not warned anywhere, he breaks the animal hair. It’s not a product for daily use, but for weekly, fifth or even monthly use... See well, even with this limitation it meets very well what promises is to drastically decrease the amount of hair in the environment and in the digestive system; and, in my case, to prevent the change of my religion only is not warned anywhere, it breaks the animal hair. It’s not a product for daily use, but for weekly, fifth or even monthly use...",-1.0,-1.0,1.0
recebi o produto antes do prazo mas veio com defeito na trava ou seja não da para usar e até agora a Americanas não resolveu e preciso muito deste produto,I got the product before the deadline but came with a defect in the trap that is not to use and so far the American has not resolved and I need a lot of this product,-1.0,-1.0,0.0
"Não compra este produto, pois o mesmo veio com os botões travados e ao tentar ligar o mesmo nem ligou. Péssima qualidade.",Don't buy this product because the same came with the locked buttons and when trying to connect the same didn't connect.,-1.0,-1.0,0.0
"Tive azar, pois o produto não ligou. Tive que entregar para o fornecedor.",I was unfortunate because the product didn't connect. I had to deliver to the supplier.,-1.0,-1.0,0.0
Uma enganação! Esperei quase um mês e cancelaram o pedido. E o produto continua disponível. Nem entraram em contato. Palhaçada!!! #carrodemola,I waited almost a month and they canceled the order. And the product remains available. They didn’t get in touch.,-1.0,-1.0,0.0
Cancelei 10 minutos depois que efetuei a compra e me mandaram mesmo assim,I cancelled 10 minutes after I made the purchase and they sent me even so,-1.0,0.0,0.0
Na estação do som tudo correto mas a estalar os autuofalante não sai som.,In the sound station everything is right but the autofalant does not sound out.,-1.0,-1.0,0.0
"Balcão bonito. Entrega no prazo. Material frágil. Veio faltando parafusos para fixação do tampo, assim como faltou a proteção (cor preta) atrás do tampo, que aparece na imagem. Montagem fácil, mas o manual de instruções poderia ser mais completo. Não recomendo pela falta dos parafusos e da proteção.","Beautiful balcony. Delivery in time. fragile material. came missing pads for fixing the tampon, as well as missed the protection (black color) behind the tampon, which appears on the image. Easy assembly, but the manual of instructions could be more complete. I don't recommend for the lack of pads and protection.",-1.0,-1.0,0.0
Estou decepcionada com o serviço oferecido pela americanas. Venceu o prazo de entrega e não recebi o produto.,I'm disappointed with the service offered by the Americans. I won the delivery deadline and I didn't receive the product.,-1.0,-1.0,0.0
"Bom dia não posso fazer avaliação, pois o produto foi incompatível para rodar no XBOX 360, não havia notado no rodapé da capa que tem que teria que ter o XBOX GOLD, tentei realizar a troca na loja física de Presidente Prudente mais não foi possível.","Good day I can't make an assessment because the product was incompatible to run on the XBOX 360, I didn't notice on the backpack of the cover that I'd have to have the XBOX GOLD, I tried to make the exchange in the physical store of President Prudente more it was not possible.",-1.0,-1.0,0.0
"No primeiro uso já encheu de bolinhas nas mangas, o atrito do moletom cria varias bolinhas.","In the first use already filled with butterflies on the mangas, the moletom scratch creates several butterflies.",-1.0,-1.0,0.0
Acho que o site deveria deixar claro que não é original,I think the site should make it clear that it is not original,0.0,-1.0,0.0
"ainda não recebi meu produto, ainda estou aguardando o recebimento.","I haven't received my product yet, I'm still waiting for receipt.",0.0,0.0,0.0
"Comprei um faz um ano e dois meses, já foi a assistência 2 vezes com o mesmo defeito e o problema não foi solucionou. Smartphone horrível!","I bought one a year and two months ago, it has been the assistance 2 times with the same defect and the problem has not been solved.",-1.0,-1.0,0.0
"Não comprem esse produto, comprei para dar de presente e chegou em casa outro jogo do minecraft  sem as dlcs, Tentei contato com o LIXO da AMERICANAS que só responde com MENSAGEM AUTOMATICA e não dão retorno. Não recomendo! comprar na americanas.com","Don't buy this product, I bought to give a gift and came home another minecraft game without the dlcs, I tried to contact the LIXO of AMERICANES that only responds with AUTOMATIC MESSAGE and don't give a return.",-1.0,-1.0,0.0
Ainda nao recebi o produto então nao tenho como avaliar,I have not received the product yet so I have no way to evaluate.,0.0,0.0,0.0
nossa comprei achando que era um aparelho original infelizmente uma replica .estou chateada o Americana .com eu não esperava receber uma replica de uma rede loja tao grande,Our purchased finding that it was an original device unfortunately a replica.I'm tired the American.com I didn't expect to receive a replica from a big tao store network,-1.0,-1.0,0.0
Não entregaram meu produto e ainda colocaram no sistema que foi entregue no dia 12/12/2017. Tento entrar em contato e eles não me respondem!,They didn’t deliver my product and still put it in the system that was delivered on 12/12/2017. I try to contact and they don’t answer me!,-1.0,-1.0,0.0
Extremamente insatisfeita com o atendimento. Estou aguardando o estorno do pagamento no meu cartão.,I'm very unhappy with the attention. I'm waiting for the payment turn on my card.,-1.0,-1.0,0.0
Comprei o produto com uma voltagem e veio outra. Até agora o problema não foi solucionado.,I bought the product with one voltage and another came. until now the problem has not been solved.,-1.0,-1.0,0.0
"esse produto nem chegou, me roboram na mão grande.  nãi fizeram a entrega, não cumpriram com o prometido não aconselho a ninguem","This product did not come, they stole me in the big hand. they did the delivery, they did not fulfill the promised I do not advise anyone",-1.0,-1.0,0.0
"Quando o telefone chegou, aqui na minha cidade ja estava quase 200.00 mais barato","When the phone arrived, here in my city was almost 200.00 cheaper",0.0,0.0,0.0
Produto chegou amassado  Pedi devolução pelo site e nunca me retornaram com procedimento. Acabei pagando caro por uma panela defeituosa. Não compraria com a polishop novamente.,The product arrived accumulated I asked for return by the site and never returned me with the procedure. I ended up paying expensive for a defective panel. I would not buy with the polishop again.,-1.0,-1.0,0.0
"Acabo de receber o alerta de preço por R$ 577, imediatamente cliquei comprar E JÁ APARECE SEM ESTOQUE!!! Propaganda enganosa é pouco.","I just received the price warning for R$ 577, I immediately clicked to buy AND SHOW WITH STOCK!!!",-1.0,0.0,0.0
"quanto abri o produto, me dei conta de como as vezes comprar pela Internet, pode nos deixar frustados!!!","How much I opened the product, I realized how sometimes buying through the internet, can leave us frustrated!!!",-1.0,-1.0,0.0
gostaria de saber se a parte do recipiente aonde colocamos o óleo conseguimos retirar para lavar.,I would like to know if the part of the container where we put the oil we can remove to wash.,0.0,0.0,0.0
"Não gostei do produto, comprei porque a descrição do site induz ser um objeto de qualidade, profissional etc, todavia, deixou a desejar, feito de alumínio, e o pote para o suco feito de plástico muito grosseiro. Não recomendo! Fui pela descrição e ""  "" toque arrojado do espremedor","I didn't like the product, I bought because the description of the site induces to be a quality object, professional etc, however, left to desire, made of aluminium, and the pot for the juice made of plastic very thick. I don't recommend! I went by the description and "" "" touched the spray",-1.0,-1.0,0.0
Falta me enviar este pote ele ainda não me foi entregue obrigado,Please send me this post he has not yet been delivered thanks,-1.0,0.0,0.0
